,original,alias
255,GLOD4,GLOD4
256,CDK4,CDK4
257,IL4R,IL4R
258,PRKAG2,PRKAG2
259,KIT,KIT
260,PTPRC,PTPRC
261,PSMG1,PSMG1
262,TMEM97,TMEM97
263,LRRC41,LRRC41
264,KIAA1279,KIAA1279
265,TCEAL4,TCEAL4
266,NUP133,NUP133
267,NUP62,NUP62
268,SPTAN1,SPTAN1
269,MALT1,MALT1
270,YKT6,YKT6
271,KIF2C,KIF2C
272,NNT,NNT
273,COL1A1,COL1A1
274,CDC25A,CDC25A
275,TP53,TP53
276,IQGAP1,IQGAP1
277,EGR1,EGR1
278,MUC1,MUC1
279,AURKB,AURKB
280,HSPA4,HSPA4
281,TOP2A,TOP2A
282,NCK2,NCK2
283,AURKA,AURKA
284,B3GNT1,B3GNT1
285,CDK5R1,CDK5R1
286,SCP2,SCP2
287,RAD9A,RAD9A
288,DRAP1,DRAP1
289,PCMT1,PCMT1
290,FYN,FYN
291,MYC,MYC
292,POLB,POLB
293,CETN3,CETN3
294,SMC4,SMC4
295,SMARCD2,SMARCD2
296,MPZL1,MPZL1
297,NRAS,NRAS
298,EBNA1BP2,EBNA1BP2
299,TATDN2,TATDN2
300,LRPAP1,LRPAP1
301,BNIP3L,BNIP3L
302,TBPL1,TBPL1
303,RAE1,RAE1
304,CDK1,CDK1
305,SLC35A1,SLC35A1
306,NIPSNAP1,NIPSNAP1
307,BCL7B,BCL7B
308,TIMELESS,TIMELESS
309,DHX29,DHX29
310,MMP2,MMP2
311,TCEA2,TCEA2
312,FHL2,FHL2
313,FKBP4,FKBP4
314,KAT6A,KAT6A
315,CDK7,CDK7
316,MAP3K4,MAP3K4
317,ZFP36,ZFP36
318,INPP1,INPP1
319,RAC2,RAC2
320,HMOX1,HMOX1
321,COL4A1,COL4A1
322,EPB41L2,EPB41L2
323,GNAI2,GNAI2
324,TSTA3,TSTA3
325,DNMT1,DNMT1
326,RAB27A,RAB27A
327,DDR1,DDR1
328,LPGAT1,LPGAT1
329,DUSP11,DUSP11
330,TP53BP2,TP53BP2
331,CDKN1A,CDKN1A
332,TJP1,TJP1
333,ABCB6,ABCB6
334,MTHFD2,MTHFD2
335,PRAF2,PRAF2
336,DNTTIP2,DNTTIP2
337,HTATSF1,HTATSF1
338,NCAPD2,NCAPD2
339,TMEM109,TMEM109
340,ICAM1,ICAM1
341,NUP93,NUP93
342,PLA2G15,PLA2G15
343,PIP4K2B,PIP4K2B
344,MYCBP2,MYCBP2
345,PGRMC1,PGRMC1
346,AARS,AARS
347,GPC1,GPC1
348,ELAC2,ELAC2
349,PLSCR1,PLSCR1
350,CTSL1,CTSL
351,CTSD,CTSD
352,ARHGEF2,ARHGEF2
353,ILK,ILK
354,NFIL3,NFIL3
355,ARL4C,ARL4C
356,CPNE3,CPNE3
357,C5,C5
358,SCRN1,SCRN1
359,MAN2B1,MAN2B1
360,NFKBIA,NFKBIA
361,DCTD,DCTD
362,MBNL1,MBNL1
363,MYCBP,NotFound2
364,PTPN1,PTPN1
365,BRP44,MPC2
366,ECD,ECD
367,CIRBP,CIRBP
368,NFKBIE,NFKBIE
369,PRSS23,PRSS23
370,CCNH,CCNH
371,P4HA2,P4HA1
372,ATP6V0B,ATP6V0B
373,CAPN1,CAPN1
374,STXBP1,STXBP1
375,ITGB5,ITGB5
376,SLC11A2,SLC11A2
377,PDIA5,NotFound3
378,RAP1GAP,RAP1GAP
379,NOLC1,NOLC1
380,CAT,CAT
381,DUSP14,DUSP14
382,HMGA2,HMGA2
383,IGFBP3,IGFBP3
384,TRIB1,TRIB1
385,TP53BP1,TP53BP1
386,FRS2,FRS2
387,BECN1,BECN1
388,KDELR2,KDELR2
389,ELAVL1,ELAVL1
390,IFNAR1,IFNAR1
391,MIF,MIF
392,DAG1,DAG1
393,IGF2BP2,IGF2BP2
394,IGF2R,IGF2R
395,TIPARP,TIPARP
396,CRTAP,CRTAP
397,GMNN,GMNN
398,CYTH1,CYTH1
399,PRCP,PRCP
400,SMARCA4,SMARCA4
401,PYGL,PYGL
402,RPA2,RPA2
403,ERBB3,ERBB3
404,GTF2E2,GTF2E2
405,ANXA7,ANXA7
406,TXNRD1,TXNRD1
407,FZD1,FZD1
408,CRYZ,CRYZ
409,GAA,GAA
410,SKIV2L,SKIV2L
411,BLMH,BLMH
412,RRP1B,RRP1B
413,TSPAN3,TSPAN3
414,PIK3R3,PIK3R3
415,KEAP1,KEAP1
416,TFDP1,TFDP1
417,SMC3,SMC3
418,LBR,LBR
419,PPIE,PPIE
420,TERF2IP,TERF2IP
421,BNIP3,BNIP3
422,BCL2,BCL2
423,RBM6,RBM6
424,CSK,CSK
425,ALDOC,ALDOC
426,UBE2L6,UBE2L6
427,SYK,SYK
428,PCBD1,PCBD1
429,ICMT,ICMT
430,EIF4EBP1,EIF4EBP1
431,GNPDA1,GNPDA1
432,CCND3,CCND3
433,NUCB2,NUCB2
434,RSU1,RSU1
435,PTPN6,PTPN6
436,DUSP4,DUSP4
437,PTPN12,PTPN12
438,PCK2,PCK2
439,RB1,RB1
440,GFPT1,GFPT1
441,BLVRA,BLVRA
442,S100A13,S100A13
443,MYBL2,MYBL2
444,STX4,STX4
445,TMCO1,TMCO1
446,PARP1,PARP1
447,CCDC85B,CCDC85B
448,DDB2,DDB2
449,BAMBI,BAMBI
450,HADH,HADH
451,GLRX,GLRX
452,MVP,MVP
453,STMN1,STMN1
454,GALE,GALE
455,PTPRF,PTPRF
456,PGM1,PGM1
457,LOXL1,LOXL1
458,MYO10,MYO10
459,LIPA,LIPA
460,PHGDH,PHGDH
461,ST7,ST7L
462,IKBKB,IKBKB
463,PCM1,PCM1
464,IER3,IER3
465,FAT1,FAT1
466,RNMT,RNMT
467,EGFR,EGFR
468,NET1,NET1
469,DECR1,DECR1
470,CDK6,CDK6
471,NPC1,NPC1
472,MEST,MEST
473,PAFAH1B3,PAFAH1B3
474,CALU,CALU
475,LGALS8,LGALS8
476,LRP10,LRP10
477,ATP1B1,ATP1B1
478,OXCT1,OXCT1
479,SLC25A4,SLC25A4
480,PSMB10,PSMB10
481,ASCC3,ASCC3
482,TRAM2,TRAM2
483,PYCR1,PYCR1
484,NCOA3,NCOA3
485,POLD4,POLD4
486,FOSL1,FOSL1
487,PRKACA,PRKACA
488,LYRM1,LYRM1
489,VDAC1,VDAC1
490,SORBS3,SORBS3
491,SPAG4,SPAG4
492,E2F2,E2F2
493,SLC5A6,SLC5A6
494,RGS2,RGS2
495,SCYL3,SCYL3
496,TBX2,TBX2
497,DNAJA3,DNAJA3
498,DCUN1D4,DCUN1D4
499,DYRK3,DYRK3
500,POLG2,POLG2
501,TRAPPC3,TRAPPC3
502,TCFL5,TCFL5
503,CRK,CRK
504,RBM34,RBM34
505,ITGB1BP1,ITGB1BP1
506,ACLY,ACLY
507,RAD51C,RAD51C
508,SMC1A,SMC1A
509,YME1L1,YME1L1
510,ACAA1,ACAA1
511,HSPA8,HSPA8
512,CCNB1,CCNB1
513,WFS1,WFS1
514,UBE3B,UBE3B
515,NPDC1,NPDC1
516,ALDH7A1,ALDH7A1
517,NFATC3,NFATC3
518,PCNA,PCNA
519,POLR2I,POLR2I
520,PSMB8,PSMB8
521,AKAP8L,AKAP8L
522,PLEKHJ1,NotFound1
523,HAT1,HAT1
524,G3BP1,G3BP1
525,TPD52L2,TPD52L2
526,PIH1D1,PIH1D1
527,PRKCQ,PRKCQ
528,SHB,SHB
529,UTP14A,UTP14A
530,TSEN2,TSEN2
531,SUV39H1,SUV39H1
532,LYPLA1,LYPLA1
533,BIRC2,BIRC2
534,MAP2K5,MAP2K5
535,PUF60,PUF60
536,DHRS7,DHRS7
537,ARID5B,ARID5B
538,PAK1,PAK1
539,CDC42,CDC42
540,IGHMBP2,IGHMBP2
541,ADO,ADO
542,TCTN1,TCTN1
543,AKR7A2,AKR7A2
544,PPP2R5E,PPP2R5E
545,LAMA3,LAMA3
546,CCNE2,CCNE2
547,FEZ2,FEZ2
548,IKBKAP,IKBKAP
549,SGCB,SGCB
550,ENOPH1,ENOPH1
551,CNOT4,CNOT4
552,SNAP25,SNAP25
553,JMJD6,JMJD6
554,SLC35F2,SLC35F2
555,ANO10,ANO10
556,STUB1,STUB1
557,PGAM1,PGAM1
558,BAD,BAD
559,PSMD10,PSMD10
560,RAB11FIP2,RAB11FIP2
561,FPGS,FPGS
562,RNH1,RNH1
563,ATG3,ATG3
564,NCK1,NCK1
565,CFLAR,CFLAR
566,HEATR1,HEATR1
567,WDR7,WDR7
568,AKAP8,AKAP8
569,SLC1A4,SLC1A4
570,GRWD1,GRWD1
571,STAT1,STAT1
572,FOXJ3,FOXJ3
573,MTERFD1,MTERF3
574,CHIC2,CHIC2
575,USP7,USP7
576,NOSIP,NOSIP
577,DLD,DLD
578,IDE,IDE
579,CD40,CD40
580,PRPF4,PRPF4
581,MELK,MELK
582,DAXX,DAXX
583,SMAD3,SMAD3
584,OXA1L,OXA1L
585,SNX7,SNX7
586,CDCA4,CDCA4
587,TBC1D9B,TBC1D9B
588,CDC20,CDC20
589,NARFL,NARFL
590,DDX42,DDX42
591,IKBKE,IKBKE
592,CCL2,CCL2
